"3,526.47",27.59
"3,504.13",27.46
"3,520.27",27.38
"3,512.89",27.66
"3,507.41",26.78
"3,526.26",26.1
"3,516.20",26.38
"3,526.99",25.38
"3,517.67",24.35
"3,536.50",23.33
"3,565.37",22.56
"3,666.60",22
"3,700.28",21.44
"3,702.34",21.1
"3,700.68",20.73
"3,693.25",20.23
"3,687.25",19.81
"3,670.54",19.46
"3,657.74",18.98
"3,630.12",18.5
"3,631.10",18.3
"3,589.26",18.17
"3,564.49",18.06
"3,537.35",17.91
"3,503.29",17.98
"3,496.07",17.71
"3,444.43",17.32
"3,394.00",17.02
"3,352.86",16.82
"3,312.62",16.55
"3,302.87",16.38
"3,242.84",16.2
"3,227.54",16.06
"3,191.04",15.82
"3,127.77",15.76
"3,086.43",15.73
"3,042.47",15.61
"3,002.93",15.26
"2,982.45",15.36
"2,931.67",15.62
"2,933.59",15.67
"2,888.24",15.52
"2,862.47",15.28
"2,810.21",14.83
"2,806.20",14.65
"2,800.71",14.39
"2,777.90",14.21
"2,756.30",14
"2,756.80",13.83
"2,737.64",13.41
"2,728.60",13.74
"2,735.73",14.92
"2,729.31",14.55
"2,724.61",14.33
"2,729.08",14.25
"2,754.08",14.2
"2,783.91",14.12
"2,818.25",14.46
"2,865.10",14.51
"2,938.68",14.73
"2,987.01",14.72
"3,023.64",14.87
"3,003.55",15.09
"3,021.29",15.07
"3,052.19",15.26
"3,088.60",16.09
"3,119.92",17.57
"3,186.78",17.98
"3,239.58",18.49
"3,285.21",18.89
"3,314.09",19.69
"3,369.09",20.54
"3,415.56",21.44
"3,471.95",21.81
"3,517.28",22.29
"3,520.92",23.14
"3,574.05",24.16
"3,580.93",24.93
"3,605.40",25.56
"3,630.69",25.97
"3,618.00",26.59
"3,652.97",27.25
"3,651.27",27.53
"3,637.26",28.08
"3,638.96",28.19
"3,637.74",28.76
"3,639.43",28.99
"3,660.06",29.58
"3,652.63",29.79
"3,650.55",30.16
"3,656.02",30.03
"3,667.44",30.36
"3,666.37",30.5
"3,660.86",30.42
"3,657.79",30.5
"3,660.01",30.47
"3,644.54",30.42
"3,649.49",30.62
"3,655.24",28.68
"3,657.76",28.3
"3,639.92",27.36
"3,656.54",27
"3,650.82",26.09
"3,643.00",25.13
"3,641.73",24.3
"3,666.76",23.9
"3,685.16",23.2
"3,765.72",22.65
"3,801.37",22.16
"3,823.60",21.64
"3,803.77",21.3
"3,806.33",20.96
"3,795.83",20.61
"3,778.51",20.28
"3,763.50",19.83
"3,737.62",19.46
"3,713.57",19.23
"3,679.97",18.94
"3,657.90",18.85
"3,620.56",18.83
"3,603.65",18.68
"3,585.50",18.53
"3,547.77",18.63
"3,520.53",18.69
"3,486.63",18.6
"3,456.91",18.36
"3,418.40",17.87
"3,351.59",18.15
"3,294.13",18.06
"3,294.07",17.87
"3,241.46",17.83
"3,168.74",17.06
"3,158.10",16.63
"3,106.97",16.39
"3,068.71",16.21
"3,017.04",16.45
"2,992.87",16.46
"2,959.95",16.74
"2,934.78",16.01
"2,906.12",15.93
"2,888.62",16.31
"2,861.84",16.29
"2,864.06",16.44
"2,828.26",16.73
"2,814.49",16.69
"2,786.12",16.38
"2,776.59",16.85
"2,783.66",16.87
"2,776.79",16.79
"2,769.89",16.73
"2,781.64",16.63
"2,813.67",16.38
"2,838.21",16.32
"2,863.87",16.52
"2,913.99",16.8
"2,940.75",16.7
"3,049.12",16.37
"3,065.10",16.44
"3,067.60",16.33
"3,082.46",16.51
"3,122.73",17.17
"3,167.13",18.04
"3,196.97",18.66
"3,266.23",19.24
"3,307.20",19.89
"3,330.87",20.54
"3,374.66",21.15
"3,444.19",21.82
"3,421.49",22.45
"3,539.31",22.98
"3,610.93",23.45
"3,640.90",23.73
"3,637.73",24.46
"3,588.55",24.89
"3,655.70",25.54
"3,686.27",26.3
"3,672.44",26.74
"3,744.58",27.24
"3,720.44",27.83
"3,697.08",28.28
"3,721.80",28.89
"3,746.26",28.84
"3,690.94",29.62
"3,698.01",29.63
"3,716.75",29.84
"3,678.89",29.65
"3,753.63",30.37
"3,665.85",30.41
"3,722.85",30.2
"3,750.18",30.13
"3,746.27",30.25
"3,767.06",30.38
"3,698.30",30
"3,689.52",29.93
"3,653.22",29.71
"3,691.42",30.12
"3,688.20",29.74
"3,657.37",29.34
"3,653.40",29.17
"3,623.05",28.01
"3,634.00",27.14
"3,640.30",26.33
"3,688.24",25.21
"3,754.45",24.25
"3,769.57",23.43
"3,806.56",22.83
"3,791.13",22.18
"3,780.91",21.41
"3,760.38",20.87
"3,738.30",20.21
"3,709.37",19.78
"3,680.74",19.16
"3,640.49",18.27
"3,626.99",17.73
"3,598.42",17.45
"3,568.58",17.27
"3,543.84",17.78
"3,502.52",17.62
"3,476.21",17.63
"3,389.00",17.58
"3,411.19",16.91
"3,369.94",16.23
"3,345.57",15.97
"3,319.23",15.9
"3,270.71",15.5
"3,286.62",14.91
"3,041.44",16.31
"2,979.45",16.42
"2,942.28",16.57
"2,861.95",16.49
"2,858.23",16.26
"2,823.48",16.07
"2,792.82",16.05
"2,772.99",16.05
"2,750.44",15.88
"2,731.20",15.83
"2,714.86",15.58
"2,679.63",15.68
"2,672.72",15.68
"2,657.33",15.44
"2,636.53",15.27
"2,609.18",14.95
"2,606.99",14.7
"2,600.80",14.39
"2,593.97",14.22
"2,605.74",14.15
"2,614.40",14.04
"2,621.52",14.01
"2,622.27",13.97
"2,645.59",13.96
"2,666.01",13.88
"2,701.82",13.65
"2,729.98",13.71
"2,747.97",13.71
"2,739.85",13.67
"2,798.64",13.61
"2,831.58",13.82
"2,876.03",14.2
"2,947.96",14.71
"3,023.54",15.62
"3,058.63",16.53
"3,117.15",17.21
"3,183.01",18.43
"3,239.27",19.45
"3,283.33",19.83
"3,337.25",20.79
"3,355.62",20.81
"3,391.02",21.48
"3,414.47",21.99
"3,427.43",22.6
"3,441.12",22.44
"3,468.58",23.37
"3,437.45",22.37
"3,474.14",23.43
"3,469.96",23.08
"3,477.63",24.63
"3,473.54",25.27
"3,467.69",24.35
"3,468.01",24.63
"3,425.34",25.69
"3,455.81",25.27
"3,439.58",25.69
"3,450.18",25.55
"3,454.43",26.99
"3,456.60",26.51
"3,435.99",25.97
"3,435.36",26.9
"3,431.86",26.05
"3,441.62",26.08
"3,419.27",24.95
"3,419.75",24.89
"3,426.92",24.85
"3,419.97",24.85
"3,404.30",24.17
"3,416.46",23.87
"3,404.72",23.31
"3,410.69",22.53
"3,435.28",21.93
"3,476.82",21.33
"3,541.91",20.8
"3,591.47",20.21
"3,609.54",19.73
"3,605.58",19.08
"3,607.86",18.48
"3,574.96",18.14
"3,562.66",17.88
"3,559.93",17.55
"3,537.95",17.1
"3,519.57",16.75
"3,488.27",16.22
"3,465.89",15.67
"3,438.95",15.29
"3,429.54",15.09
"3,407.09",15.01
"3,382.68",14.87
"3,343.17",14.3
"3,330.10",14.3
"3,290.82",14.22
"3,260.56",14.01
"3,234.57",13.71
"3,199.11",13.81
"3,160.59",13.85
"3,094.61",13.51
"3,018.61",13.42
"2,971.59",13.34
"2,929.43",13.23
"2,905.83",13.28
"2,856.57",13
"2,838.55",13
"2,816.19",13.01
"2,798.39",13.28
"2,742.61",13.32
"2,733.71",13.19
"2,713.00",13
"2,689.52",12.81
"2,678.76",12.78
"2,654.87",12.6
"2,679.90",12.76
"2,646.27",12.55
"2,669.86",12.56
"2,657.16",12.41
"2,638.03",12.33
"2,681.55",12.01
"2,724.60",11.98
"2,737.51",11.79
"2,776.64",11.78
"2,821.48",11.41
"2,893.05",11.4
"2,957.57",11.37
"2,978.43",11.13
"2,959.33",10.98
"3,025.11",11.34
"3,048.73",11.74
"3,064.25",12.36
"3,104.34",13.26
"3,151.98",14.22
"3,207.77",14.48
"3,230.97",15.35
"3,272.80",16.17
"3,330.81",17.25
"3,418.54",18.69
"3,423.48",19.49
"3,464.02",19.61
"3,492.78",20.52
"3,507.43",21.1
"3,502.50",21.78
"3,545.49",23.02
"3,546.13",23.65
"3,582.17",24.41
"3,585.33",24.65
"3,597.35",24.98
"3,563.05",25.95
"3,583.99",26.4
"3,591.78",27.26
"3,578.45",27.7
"3,581.53",28.22
"3,582.97",28.56
"3,594.36",28.34
"3,596.69",28.23
"3,615.33",28.74
"3,604.12",29.14
"3,590.77",29.03
"3,614.14",28.99
"3,604.19",29.5
"3,601.54",29.44
"3,609.02",29.69
"3,597.93",29.18
"3,590.25",28.94
"3,600.48",28.94
"3,596.19",28.37
"3,580.03",28.46
"3,578.67",27.78
"3,568.04",25.48
"3,583.31",24.22
"3,601.09",23.44
"3,680.50",22.76
"3,742.59",22.18
"3,744.73",21.68
"3,751.00",21.24
"3,736.21",20.72
"3,711.98",20.29
"3,707.92",20.08
"3,696.17",19.73
"3,647.14",19.36
"3,614.07",19.16
"3,594.73",19.2
"3,575.76",19.12
"3,543.07",19.13
"3,523",18.9
"3,497.60",18.87
"3,472.88",18.96
"3,408.74",18.87
"3,395.73",18.51
"3,360.45",18.19
"3,309.28",17.9
"3,297.18",17.72
"3,267.87",17.69
"3,223.78",17.25
"3,159.06",17.36
"3,077.78",17.9
"3,031.27",17.77
"2,988.13",17.72
"2,954.70",17.34
"2,952.56",17.49
"2,912.62",17.35
"2,896.28",17.27
"2,866.29",16.66
"2,830.57",16.45
"2,821.06",16.59
"2,812.01",16.63
"2,786.54",16.22
"2,765.71",17.21
"2,777.88",16.98
"2,765.20",16.28
"2,767.52",17.32
"2,747.06",17.16
"2,754.55",16.96
"2,766.34",17.1
"2,755.30",17.28
"2,786.51",17.27
"2,816.87",17.06
"2,860.94",16.82
"2,891.51",16.59
"2,958.45",16.17
"3,004.14",16.37
"3,018.78",16.25
"3,014.25",16.04
"3,071.15",16.18
"3,086.43",16.41
"3,147.60",16.67
"3,179.08",17.3
"3,238.12",17.86
"3,321.92",18.83
"3,343.19",20.11
"3,379.91",21.24
"3,432.00",22.32
"3,497.10",23.09
"3,538.46",23.62
"3,577.63",24.27
"3,579.74",25
"3,629.13",25.41
"3,649.16",26.07
"3,666.96",26.6
"3,676.53",26.72
"3,701.71",27.05
"3,693.07",27.57
"3,690.29",27.57
"3,708.24",28.28
"3,692.30",28.25
"3,670.07",29.01
"3,676.57",28.82
"3,658.40",29.07
"3,658.21",29.47
"3,673.41",29.49
"3,694.91",29.47
"3,693.51",30.02
"3,703.45",29.59
"3,706.17",29.91
"3,687.11",29.78
"3,703.80",30.09
"3,719.86",29.71
"3,719.82",29.79
"3,710.44",29.95
"3,715.47",29.81
"3,714.24",29.61
"3,712.20",29.4
"3,694.24",29.19
"3,688.23",28.94
"3,707.93",28.62
"3,708.86",28.24
"3,739.82",27.71
"3,827.65",26.93
"3,878.69",26.2
"3,896.32",25.58
"3,862.61",24.76
"3,859.82",23.59
"3,857.49",23.74
"3,861.88",23.23
"3,836.44",22.95
"3,814.47",23.08
"3,770.48",22.64
"3,766.07",22.29
"3,708.56",22.31
"3,687.55",22.24
"3,660.71",22.1
"3,645",22.04
"3,641.13",22.04
"3,584.49",21.91
"3,564.81",21.77
"3,516.72",21.7
"3,477.54",21.54
"3,452.46",21.51
"3,408.52",21.36
"3,377.71",21.14
"3,290.25",21.05
"3,210.88",20.86
"3,173.13",20.79
"3,138.06",20.83
"3,098.07",20.75
"3,080.61",20.56
"3,047.84",20.41
"3,012.18",20.25
"2,998.99",20.34
"2,958.63",19.41
"2,941.53",19.52
"2,930.98",19.1
"2,900.74",19.36
"2,883.84",19.67
"2,877.94",19.31
"2,867.47",19.41
"2,855.12",19.49
"2,840.23",19.32
"2,828.07",19.16
"2,845.96",19.51
"2,831.86",19.91
"2,880.65",19.33
"2,909.27",19.09
"2,947.69",19.02
"2,994.23",18.87
"3,062.48",18.46
"3,111.45",18.2
"3,121.32",18.06
"3,099.60",17.9
"3,132.78",17.71
"3,168.35",18.18
"3,223.55",18.8
"3,282.36",18.94
"3,350.29",19.07
"3,413.46",20.06
"3,432.67",21.01
"3,488.16",21.44
"3,522.05",22.08
"3,590.54",22.72
"3,634.49",23.44
"3,674.95",24.22
"3,698.63",24.5
"3,724.94",25.01
"3,746.55",25.28
"3,766.43",25.75
"3,787.44",25.8
"3,790.45",26.33
"3,798.04",26.53
"3,817.83",27.16
"3,828.18",27.05
"3,830.80",27.91
"3,829.46",27.79
"3,847.18",27.95
"3,848.27",28.43
"3,853.42",28.23
"3,842.43",28.84
"3,841.92",29.13
"3,840.65",28.79
"3,838.12",29.21
"3,859.53",29.19
"3,852.19",29.79
"3,867.68",29.75
"3,863.97",29.78
"3,844.70",29.31
"3,837.97",29.93
"3,857.00",30.03
"3,870.99",30.12
"3,861.73",29.33
"3,841.18",29.68
"3,847.75",29.2
"3,811.66",29.42
"3,822.21",28.39
"3,838.07",27.37
"3,913.30",26.75
"3,979.80",26.19
"3,992.76",25.65
"3,973.72",25.21
"3,964.77",24.23
"3,935.42",24.56
"3,934.99",23.9
"3,903.92",23.36
"3,891.93",23.16
"3,860.23",22.78
"3,799.36",22.38
"4,047.83",22.18
"3,921.21",21.77
"3,824.29",21.65
"3,731.70",21.49
